policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,150_gap,200_gap,250_gap,300_gap,status,ndomchgs,ncutoffs,walltime,proctime
ml-competitor:svmrank_khalil,1,small,../data/instances/facilities/test_100_100_5/instance_2.lp,221,327,19.637822,0.0,0.0023079259935574344,0.0022854686530219127,0.0020069573287205254,0.0018970015362722865,0.0018639798319562801,0,0,optimal,0,0,19.63786354660988,19.65015628400002
ml-competitor:svmrank_khalil,2,small,../data/instances/facilities/test_100_100_5/instance_2.lp,253,395,22.26519,0.0,0.002467735556875548,0.0021061472369177177,0.001937369129774259,0.0019205725704082666,0.0018837305518119767,0,0,optimal,0,0,22.265242562629282,22.279322465999996
ml-competitor:svmrank_khalil,3,small,../data/instances/facilities/test_100_100_5/instance_2.lp,213,352,21.277836,0.0,0.0019427572028738,0.0018814567576505884,0.0018250883353748942,0.0016450747703614858,0.0006486697126091236,0,0,optimal,0,0,21.277879289351404,21.29100321300001
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_2.lp,241,384,21.648574,0.0,0.002007984357807816,0.0019058572241378317,0.0018146153492114624,0.0014428604053656128,0.0013969047435101604,0,0,optimal,0,0,21.648625400848687,21.662107211000006
gcnn:baseline,0,small,../data/instances/facilities/test_100_100_5/instance_2.lp,219,326,19.539482,0.0,0.002007984357807606,0.0019486428918305523,0.0019299690290704539,0.0018919496674733736,0.001859097260922169,0,0,optimal,0,0,19.539529516361654,20.522829606000016
gcnn:baseline,1,small,../data/instances/facilities/test_100_100_5/instance_2.lp,237,372,21.821481,0.0,0.0023079259935574344,0.0019336783684659044,0.001917516167019562,0.0018903413277840337,0.0006957430424010468,0,0,optimal,0,0,21.82152930367738,22.794899894000025
gcnn:baseline,2,small,../data/instances/facilities/test_100_100_5/instance_2.lp,251,371,21.929372,0.0,0.002467735556875548,0.0022556113977976193,0.001974749934054493,0.001908410260687769,0.0013800210597775635,0,0,optimal,0,0,21.929417674429715,22.913466442000015
gcnn:baseline,3,small,../data/instances/facilities/test_100_100_5/instance_2.lp,209,319,20.710752,0.0,0.0020000253059723923,0.0019649292874187284,0.0019302067189762996,0.0019043193662130274,0.0013937718248702399,0,0,optimal,0,0,20.71080480609089,21.66348284999998
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_2.lp,223,336,20.885575,0.0,0.002161310093911009,0.002007984357807816,0.0019466679042312175,0.0019466679042312175,0.0018667961746643888,0,0,optimal,0,0,20.885626521892846,21.847066456999983
ml-competitor:svmrank_khalil,0,small,../data/instances/facilities/test_100_100_5/instance_3.lp,69,185,20.378604,0.0,0.0017654524140725703,0,0,0,0,0,0,optimal,0,0,20.378653689287603,20.394775219999985
ml-competitor:svmrank_khalil,1,small,../data/instances/facilities/test_100_100_5/instance_3.lp,65,151,14.463272,0.0,0.0016033390876549261,0,0,0,0,0,0,optimal,0,0,14.463324578478932,14.472414750999974
ml-competitor:svmrank_khalil,2,small,../data/instances/facilities/test_100_100_5/instance_3.lp,55,148,13.597799,0.0,0,0,0,0,0,0,0,optimal,0,0,13.597854961641133,13.60640292200003
ml-competitor:svmrank_khalil,3,small,../data/instances/facilities/test_100_100_5/instance_3.lp,43,147,18.698586,0.0,0,0,0,0,0,0,0,optimal,0,0,18.698643137700856,18.709997691000012
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_3.lp,54,141,15.158158,0.0,0,0,0,0,0,0,0,optimal,0,0,15.158229769207537,15.167488452999976
gcnn:baseline,0,small,../data/instances/facilities/test_100_100_5/instance_3.lp,47,174,19.697485,0.0,0,0,0,0,0,0,0,optimal,0,0,19.69752074033022,20.525104760999966
gcnn:baseline,1,small,../data/instances/facilities/test_100_100_5/instance_3.lp,41,119,13.480487,0.0,0,0,0,0,0,0,0,optimal,0,0,13.48051861487329,14.298817294000003
gcnn:baseline,2,small,../data/instances/facilities/test_100_100_5/instance_3.lp,59,147,12.230867,0.0,0.00026778494050947816,0,0,0,0,0,0,optimal,0,0,12.230899067595601,13.062881432999973
gcnn:baseline,3,small,../data/instances/facilities/test_100_100_5/instance_3.lp,61,188,20.886367,0.0,0,0,0,0,0,0,0,optimal,0,0,20.886412660591304,21.726707517000023
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_3.lp,39,124,14.691832999999999,0.0,0,0,0,0,0,0,0,optimal,0,0,14.691869204863906,15.510879008000074
ml-competitor:svmrank_khalil,0,small,../data/instances/facilities/test_100_100_5/instance_4.lp,105,235,24.466017,0.0,0.001462375778904808,0.0012137455839581154,9.069016152105504e-05,0,0,0,0,optimal,0,0,24.46605987753719,24.482229374999974
ml-competitor:svmrank_khalil,1,small,../data/instances/facilities/test_100_100_5/instance_4.lp,289,582,42.731276,0.0,0.003083744888719121,0.003083744888719121,0.002793324590547854,0.0024200985888046624,0.0021605958461806928,0.0008028731006000172,0,optimal,0,0,42.73132356721908,42.75745929800007
ml-competitor:svmrank_khalil,2,small,../data/instances/facilities/test_100_100_5/instance_4.lp,215,430,38.189386,0.0,0.003206839546652552,0.0031207109960250346,0.0031207109960250346,0.001181582112578989,0.0005984216221399532,0,0,optimal,0,0,38.18943398166448,38.21290878600007
ml-competitor:svmrank_khalil,3,small,../data/instances/facilities/test_100_100_5/instance_4.lp,282,509,42.107439,0.0,0.0031637676873930215,0.0030116920636179567,0.0030116920636179567,0.0024863371890351087,0.0015440558927451657,0.0009221361554017324,0,optimal,0,0,42.10749273002148,42.13219708099996
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_4.lp,289,506,47.173106,0.0,0.0030475434009356746,0.0030131928242660617,0.002572129990172149,0.0021728553103821328,0.0020976520354852486,0,0,optimal,0,0,47.17315841559321,47.20236533499997
gcnn:baseline,0,small,../data/instances/facilities/test_100_100_5/instance_4.lp,121,273,27.687008,0.0,0.0011140742323799816,0.0007431039441608986,0.0005722772200523655,0,0,0,0,optimal,0,0,27.687061497941613,28.571150091999925
gcnn:baseline,1,small,../data/instances/facilities/test_100_100_5/instance_4.lp,225,450,35.640847,0.0,0.0030643921013107354,0.0030643921013107354,0.0029105666594784097,0.0014642432014077156,0,0,0,optimal,0,0,35.64089619833976,36.61563094899998
gcnn:baseline,2,small,../data/instances/facilities/test_100_100_5/instance_4.lp,191,424,34.579049,0.0,0.002667444164868216,0.002045424185506967,0.002045424185506967,0.0007716780812196477,0,0,0,optimal,0,0,34.57909942883998,35.53866265099998
gcnn:baseline,3,small,../data/instances/facilities/test_100_100_5/instance_4.lp,253,471,35.956502,0.0,0.0032272607249557894,0.0024288096545557946,0.0024288096545557946,0.0024288096545557946,0.0010598768279428473,0,0,optimal,0,0,35.95655137579888,36.98393420000002
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_4.lp,211,387,34.538416,0.0,0.0032242947938301517,0.0032242947938301517,0.003027429081071505,0.0009430708005530528,0,0,0,optimal,0,0,34.53846736904234,35.53270361800003
ml-competitor:svmrank_khalil,0,small,../data/instances/facilities/test_100_100_5/instance_5.lp,29,71,7.496004,0.0,0,0,0,0,0,0,0,optimal,0,0,7.4960518619045615,7.497953510000002
ml-competitor:svmrank_khalil,1,small,../data/instances/facilities/test_100_100_5/instance_5.lp,37,77,5.268204,0.0,0,0,0,0,0,0,0,optimal,0,0,5.268246608786285,5.269626891999906
ml-competitor:svmrank_khalil,2,small,../data/instances/facilities/test_100_100_5/instance_5.lp,41,82,6.052575,0.0,0,0,0,0,0,0,0,optimal,0,0,6.052624214440584,6.054157895000003
ml-competitor:svmrank_khalil,3,small,../data/instances/facilities/test_100_100_5/instance_5.lp,23,118,10.348917,0.0,0,0,0,0,0,0,0,optimal,0,0,10.348961386829615,10.350730665000015
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_5.lp,31,132,11.254461,0.0,0,0,0,0,0,0,0,optimal,0,0,11.254512098617852,11.256640893000053
gcnn:baseline,0,small,../data/instances/facilities/test_100_100_5/instance_5.lp,27,70,7.492508,0.0,0,0,0,0,0,0,0,optimal,0,0,7.492537341080606,8.284303075000025
gcnn:baseline,1,small,../data/instances/facilities/test_100_100_5/instance_5.lp,27,68,5.407191,0.0,0,0,0,0,0,0,0,optimal,0,0,5.407217802479863,6.2092064880000635
gcnn:baseline,2,small,../data/instances/facilities/test_100_100_5/instance_5.lp,27,73,6.000786,0.0,0,0,0,0,0,0,0,optimal,0,0,6.00082403793931,6.801802242999997
gcnn:baseline,3,small,../data/instances/facilities/test_100_100_5/instance_5.lp,25,119,10.403631,0.0,0,0,0,0,0,0,0,optimal,0,0,10.403663290664554,11.204253678999976
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_5.lp,27,130,11.278814,0.0,0,0,0,0,0,0,0,optimal,0,0,11.278843695297837,12.053091152999968
ml-competitor:svmrank_khalil,0,small,../data/instances/facilities/test_100_100_5/instance_6.lp,1363,1647,92.993352,0.0,0.004574209320366733,0.004574209320366733,0.004574209320366733,0.00408535354159676,0.003967823531951597,0.003328281900392268,0.002543683214913894,optimal,0,0,92.9933992261067,93.0123166840001
ml-competitor:svmrank_khalil,1,small,../data/instances/facilities/test_100_100_5/instance_6.lp,572,781,58.680321,0.0,0.0032757946575701544,0.0028350476121250224,0.0026585552402031945,0.0022312647320256503,0.0021852179931471966,0.0020826164284726543,0.0020826164284726543,optimal,0,0,58.68036886304617,58.69119221200003
ml-competitor:svmrank_khalil,2,small,../data/instances/facilities/test_100_100_5/instance_6.lp,945,1230,71.229386,0.0,0.004008689153807346,0.004008689153807346,0.004008689153807346,0.003965315302541176,0.003965315302541176,0.002930351724043865,0.0028589120872178782,optimal,0,0,71.22943633049726,71.24315123099996
ml-competitor:svmrank_khalil,3,small,../data/instances/facilities/test_100_100_5/instance_6.lp,908,1194,73.163259,0.0,0.0037542785544660436,0.0037396888850720236,0.0037396888850720236,0.002753358356576393,0.0024519135283565807,0.0024519135283565807,0.002115659166914587,optimal,0,0,73.16331099160016,73.17750398900012
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_6.lp,619,792,67.956962,0.0,0.0030909930313004932,0.0030753301829127416,0.0028179682403580387,0.0028124681918778897,0.0026202985363961845,0.002361211062964597,0.0022688029645512803,optimal,0,0,67.95700923725963,67.96856409799989
gcnn:baseline,0,small,../data/instances/facilities/test_100_100_5/instance_6.lp,1269,1513,82.862478,0.0,0.003385705367818377,0.003385705367818377,0.0033349304174015537,0.0030839194766738767,0.00307026089792348,0.002860149201767753,0.002392126940894022,optimal,0,0,82.8625304857269,84.62159109899994
gcnn:baseline,1,small,../data/instances/facilities/test_100_100_5/instance_6.lp,575,805,58.875524,0.0,0.0028827023359540116,0.002662202711864198,0.002662202711864198,0.0024020086770777565,0.0024020086770777565,0.0024020086770777565,0.002266469801965234,optimal,0,0,58.87557789217681,60.13361167900007
gcnn:baseline,2,small,../data/instances/facilities/test_100_100_5/instance_6.lp,1004,1341,74.269476,0.0,0.004039779771858029,0.004008689153807346,0.004008689153807346,0.0037518883179547,0.0036501841084085095,0.0024264287783274585,0.0024264287783274585,optimal,0,0,74.26952079683542,75.88642351999988
gcnn:baseline,3,small,../data/instances/facilities/test_100_100_5/instance_6.lp,988,1288,78.665211,0.0,0.0037542785544660436,0.0037542785544660436,0.0037542785544660436,0.0037542785544660436,0.0037542785544660436,0.0037396888850720236,0.003572838556400144,optimal,0,0,78.6652606902644,80.31217446300002
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_6.lp,1017,1253,88.662548,0.0,0.0037956070881198533,0.003092030220217289,0.0030753301829127416,0.003039005087959841,0.003039005087959841,0.0030176753414237274,0.0029628146740044623,optimal,0,0,88.66260093543679,90.25355617600007
ml-competitor:svmrank_khalil,0,small,../data/instances/facilities/test_100_100_5/instance_7.lp,7,47,6.255116,0.0,0,0,0,0,0,0,0,optimal,0,0,6.255146683193743,6.259375731999853
ml-competitor:svmrank_khalil,1,small,../data/instances/facilities/test_100_100_5/instance_7.lp,7,69,8.127443,0.0,0,0,0,0,0,0,0,optimal,0,0,8.127487392164767,8.133262957999932
ml-competitor:svmrank_khalil,2,small,../data/instances/facilities/test_100_100_5/instance_7.lp,7,55,6.519884,0.0,0,0,0,0,0,0,0,optimal,0,0,6.51991614792496,6.5241966829999
ml-competitor:svmrank_khalil,3,small,../data/instances/facilities/test_100_100_5/instance_7.lp,7,47,6.134263,0.0,0,0,0,0,0,0,0,optimal,0,0,6.134297844953835,6.137758925000071
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_7.lp,7,69,8.293565,0.0,0,0,0,0,0,0,0,optimal,0,0,8.293598800897598,8.298427786000047
gcnn:baseline,0,small,../data/instances/facilities/test_100_100_5/instance_7.lp,7,47,6.374992,0.0,0,0,0,0,0,0,0,optimal,0,0,6.375024954788387,7.133339540999941
gcnn:baseline,1,small,../data/instances/facilities/test_100_100_5/instance_7.lp,7,69,8.394138,0.0,0,0,0,0,0,0,0,optimal,0,0,8.394190193153918,9.098394090000056
gcnn:baseline,2,small,../data/instances/facilities/test_100_100_5/instance_7.lp,9,57,7.207895,0.0,0,0,0,0,0,0,0,optimal,0,0,7.207935782149434,7.993833096000117
gcnn:baseline,3,small,../data/instances/facilities/test_100_100_5/instance_7.lp,7,47,6.496204,0.0,0,0,0,0,0,0,0,optimal,0,0,6.496277064085007,7.283158414000127
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_7.lp,13,75,8.955627,0.0,0,0,0,0,0,0,0,optimal,0,0,8.955682492814958,9.744823487000076
ml-competitor:svmrank_khalil,0,small,../data/instances/facilities/test_100_100_5/instance_8.lp,23,152,15.908751,0.0,0,0,0,0,0,0,0,optimal,0,0,15.908803394064307,15.913037368000005
ml-competitor:svmrank_khalil,1,small,../data/instances/facilities/test_100_100_5/instance_8.lp,27,147,14.779041,0.0,0,0,0,0,0,0,0,optimal,0,0,14.7791238874197,14.781395547000102
ml-competitor:svmrank_khalil,2,small,../data/instances/facilities/test_100_100_5/instance_8.lp,25,159,16.79371,0.0,0,0,0,0,0,0,0,optimal,0,0,16.793763655237854,16.79630315999998
ml-competitor:svmrank_khalil,3,small,../data/instances/facilities/test_100_100_5/instance_8.lp,17,139,13.442469,0.0,0,0,0,0,0,0,0,optimal,0,0,13.442502344958484,13.444902616000036
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_8.lp,110,263,30.301245,0.0,0.005122907884715941,0.005122907884715941,0.0040306146368065164,0,0,0,0,optimal,0,0,30.30129635427147,30.306294219999927
gcnn:baseline,0,small,../data/instances/facilities/test_100_100_5/instance_8.lp,15,141,14.402703,0.0,0,0,0,0,0,0,0,optimal,0,0,14.40273361094296,15.1974889789999
gcnn:baseline,1,small,../data/instances/facilities/test_100_100_5/instance_8.lp,17,140,13.722545,0.0,0,0,0,0,0,0,0,optimal,0,0,13.722594215534627,14.519934835999948
gcnn:baseline,2,small,../data/instances/facilities/test_100_100_5/instance_8.lp,17,151,16.564571,0.0,0,0,0,0,0,0,0,optimal,0,0,16.564598256722093,17.360653641
gcnn:baseline,3,small,../data/instances/facilities/test_100_100_5/instance_8.lp,17,138,13.092288,0.0,0,0,0,0,0,0,0,optimal,0,0,13.092319555580616,13.88821993900001
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_8.lp,120,277,28.238141,0.0,0.004798975723978753,0.004798975723978753,0.004697882533751148,0,0,0,0,optimal,0,0,28.238192895427346,29.21442359799994
ml-competitor:svmrank_khalil,0,small,../data/instances/facilities/test_100_100_5/instance_9.lp,261,441,33.978086,0.0,0.0029678064870425954,0.0027218424915193083,0.0025771044081444464,0.0021979974035420432,0.0012225027914070123,0.000573466266697041,0,optimal,0,0,33.978129903785884,33.98568879000004
ml-competitor:svmrank_khalil,1,small,../data/instances/facilities/test_100_100_5/instance_9.lp,317,495,33.234089,0.0,0.004020321210937569,0.0028794730081995964,0.0028768110341602297,0.0024268050286579104,0.0022656702800134786,0.0019067298001488582,0.0006981263573447843,optimal,0,0,33.234130340628326,33.240118208999775
ml-competitor:svmrank_khalil,2,small,../data/instances/facilities/test_100_100_5/instance_9.lp,275,418,30.559688,0.0,0.0032923009881088575,0.002953480609194485,0.002953480609194485,0.002336910935992686,0.0019245323617496446,0.0014733226606694096,0,optimal,0,0,30.55973483528942,30.56525272900035
ml-competitor:svmrank_khalil,3,small,../data/instances/facilities/test_100_100_5/instance_9.lp,261,440,27.931385,0.0,0.003609913040841287,0.003609913040841287,0.002698390099619237,0.0021486041063078017,0.0015015158234366534,0,0,optimal,0,0,27.931433456018567,27.936119628000142
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_9.lp,217,374,30.092143,0.0,0.002905972649167232,0.0027431312292179196,0.0020724228047661517,0.0017630698643796168,0.0009538344746842245,0,0,optimal,0,0,30.09218924958259,30.097546736999902
gcnn:baseline,0,small,../data/instances/facilities/test_100_100_5/instance_9.lp,197,332,25.754517,0.0,0.003141506906015873,0.0025628072002437325,0.0021716837802945735,0.0015312350692538751,0,0,0,optimal,0,0,25.754559986293316,26.69114661699996
gcnn:baseline,1,small,../data/instances/facilities/test_100_100_5/instance_9.lp,251,388,26.350552,0.0,0.0030544761876382972,0.0030544761876382972,0.0025747081352643975,0.002235460290472308,0.0017152347221641192,0,0,optimal,0,0,26.350597891025245,27.354447144000005
gcnn:baseline,2,small,../data/instances/facilities/test_100_100_5/instance_9.lp,221,371,27.997305,0.0,0.0033188979495643554,0.002883966045004535,0.0022308493721125617,0.001660490310016413,0.0007701203587527209,0,0,optimal,0,0,27.99734973628074,28.933972240999992
gcnn:baseline,3,small,../data/instances/facilities/test_100_100_5/instance_9.lp,233,393,26.335559,0.0,0.0033085606442406555,0.0033085606442406555,0.0033085606442406555,0.002063366191724292,0.0018117089147558127,0,0,optimal,0,0,26.335605112835765,27.303279335999832
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_9.lp,221,372,28.065867,0.0,0.003258797846964933,0.003258797846964933,0.0029097861201146645,0.0018719643141882714,0.0008623059156519763,0,0,optimal,0,0,28.065913934260607,29.018868544999805
ml-competitor:svmrank_khalil,0,small,../data/instances/facilities/test_100_100_5/instance_10.lp,371,533,52.799354,0.0,0.0043756011047950995,0.004290255173111641,0.004290255173111641,0.004026346168063811,0.0032868852369273382,0.0022396975200553904,0.0017381521076346347,optimal,0,0,52.79940901696682,52.832037872
ml-competitor:svmrank_khalil,1,small,../data/instances/facilities/test_100_100_5/instance_10.lp,333,518,50.42637,0.0,0.005154903300214871,0.005154903300214871,0.004429986337990824,0.0022466858560230086,0.0021497868719106273,0.0016790168371678548,0.0008617479385296471,optimal,0,0,50.42642288468778,50.45641003899982
ml-competitor:svmrank_khalil,2,small,../data/instances/facilities/test_100_100_5/instance_10.lp,373,574,55.860127,0.0,0.004617321454548449,0.004566796034260779,0.004566796034260779,0.003918738531388267,0.002922595197717146,0.0017662629547003305,0.001199908490498401,optimal,0,0,55.86018039751798,55.892790612000226
ml-competitor:svmrank_khalil,3,small,../data/instances/facilities/test_100_100_5/instance_10.lp,309,493,51.35261,0.0,0.004894158517285347,0.004043052752470896,0.0038368259361498914,0.0032212725806424944,0.002871291412277566,0.0005644014218886362,0,optimal,0,0,51.35266398452222,51.38321622600006
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_10.lp,285,453,40.648022,0.0,0.005285364118525739,0.0047384359366545465,0.0047384359366545465,0.003990277165190634,0.0020304486551872107,0,0,optimal,0,0,40.64807311818004,40.67196474699995
gcnn:baseline,0,small,../data/instances/facilities/test_100_100_5/instance_10.lp,271,457,44.917909,0.0,0.004686419891597864,0.004686419891597864,0.003298418500336279,0.00249776591699606,0.0017802072757837843,0,0,optimal,0,0,44.91795887798071,45.91633267299994
gcnn:baseline,1,small,../data/instances/facilities/test_100_100_5/instance_10.lp,351,518,46.88164,0.0,0.005357509644908374,0.004712312407861138,0.0033018237582389145,0.0022466858560230086,0.0017777924138989458,0.0011769671758412085,0.0011145206456691433,optimal,0,0,46.88169139996171,47.95930902599957
gcnn:baseline,2,small,../data/instances/facilities/test_100_100_5/instance_10.lp,375,597,59.981847,0.0,0.004039404728634498,0.004039404728634498,0.003532340313383691,0.0034831680724912617,0.002592691207541995,0.002592691207541995,0.0016885560423228396,optimal,0,0,59.98191271536052,61.08593228000018
gcnn:baseline,3,small,../data/instances/facilities/test_100_100_5/instance_10.lp,289,460,45.115532,0.0,0.003873909154128676,0.0029697787300156874,0.0029697787300156874,0.002620905499030892,0.002211616394712713,0.0011086069074874637,0,optimal,0,0,45.11558140069246,46.12686623300033
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_10.lp,331,506,41.665726,0.0,0.0048832414470842975,0.0034589284134783453,0.0025336517230041492,0.0019632773737687705,0.0017952261999768532,0.001507269638552502,0.0008730575607034772,optimal,0,0,41.66577551048249,42.74459557699993
ml-competitor:svmrank_khalil,0,small,../data/instances/facilities/test_100_100_5/instance_11.lp,11,45,6.510249,0.0,0,0,0,0,0,0,0,optimal,0,0,6.510280763730407,6.5114122459999635
ml-competitor:svmrank_khalil,1,small,../data/instances/facilities/test_100_100_5/instance_11.lp,7,107,11.00455,0.0,0,0,0,0,0,0,0,optimal,0,0,11.004601075313985,11.006637671000135
ml-competitor:svmrank_khalil,2,small,../data/instances/facilities/test_100_100_5/instance_11.lp,9,40,5.4677109999999995,0.0,0,0,0,0,0,0,0,optimal,0,0,5.467752142809331,5.468635959000039
ml-competitor:svmrank_khalil,3,small,../data/instances/facilities/test_100_100_5/instance_11.lp,7,103,9.882864,0.0,0,0,0,0,0,0,0,optimal,0,0,9.882912756875157,9.884285407000334
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_11.lp,11,98,11.488745,0.0,0,0,0,0,0,0,0,optimal,0,0,11.488793005235493,11.489965850999852
gcnn:baseline,0,small,../data/instances/facilities/test_100_100_5/instance_11.lp,9,42,6.561712,0.0,0,0,0,0,0,0,0,optimal,0,0,6.561743944883347,7.348676657999931
gcnn:baseline,1,small,../data/instances/facilities/test_100_100_5/instance_11.lp,7,107,10.997659,0.0,0,0,0,0,0,0,0,optimal,0,0,10.997690147720277,11.783050440999887
gcnn:baseline,2,small,../data/instances/facilities/test_100_100_5/instance_11.lp,9,40,5.524998,0.0,0,0,0,0,0,0,0,optimal,0,0,5.525029887445271,6.310855725000238
gcnn:baseline,3,small,../data/instances/facilities/test_100_100_5/instance_11.lp,7,103,9.865981,0.0,0,0,0,0,0,0,0,optimal,0,0,9.866016367450356,10.59430382499977
