policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_4.lp,296,515,41.89,0.0,optimal,0,0,41.96299561113119,43.08513769599995
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_4.lp,270,470,34.66,0.0,optimal,0,0,34.71892650797963,35.80086226000003
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_4.lp,212,376,30.83,0.0,optimal,0,0,30.729169523343444,31.75307749800004
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_4.lp,275,535,43.41,0.0,optimal,0,0,43.598973320797086,44.68270726999981
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_5.lp,1,49,5.74,0.0,optimal,3,1,6.0207645781338215,6.023524249000047
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_5.lp,1,36,5.4,0.0,optimal,6,1,5.649736054241657,5.652262918000133
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_5.lp,1,51,6.5,0.0,optimal,2,1,6.763933092355728,6.767016843999954
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_5.lp,1,53,8.47,0.0,optimal,4,1,8.86210361868143,8.865410037999936
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_5.lp,1,91,12.0,0.0,optimal,1,1,12.413472918793559,12.41829980600005
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_5.lp,25,62,6.35,0.0,optimal,0,0,5.754450568929315,6.588272409999945
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_5.lp,27,50,5.44,0.0,optimal,0,0,4.860717136412859,5.6813118399998075
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_5.lp,35,75,6.95,0.0,optimal,0,0,6.412819352000952,7.253459531999852
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_5.lp,25,73,9.57,0.0,optimal,0,0,9.07225344516337,9.903897260000122
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_5.lp,15,101,12.83,0.0,optimal,0,0,12.512357259169221,13.343020779000199
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_6.lp,321,662,75.92,0.0,optimal,171,0,77.71280751749873,77.74379343300006
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_6.lp,669,1189,101.5,0.0,optimal,157,0,104.1519423443824,104.19139281699995
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_6.lp,309,553,69.26,0.0,optimal,160,0,71.30497711151838,71.33201106999991
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_6.lp,129,314,50.41,0.0,optimal,103,0,51.69972044043243,51.71923059100004
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_6.lp,688,1109,80.49,0.0,optimal,164,0,83.03400273062289,83.0654202159999
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_6.lp,1089,1327,89.13,0.0,optimal,0,0,90.19395327568054,91.88211445599995
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_6.lp,1028,1289,83.01,0.0,optimal,0,0,83.98810016177595,85.67782591500008
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_6.lp,821,975,73.25,0.0,optimal,0,0,74.36747121997178,75.86243567600013
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_6.lp,972,1213,82.87,0.0,optimal,0,0,83.88465440645814,85.51127248800003
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_6.lp,1069,1349,75.06,0.0,optimal,0,0,75.86562330648303,77.58330457900001
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_7.lp,1,55,7.05,0.0,optimal,2,1,7.253922259435058,7.259040346999882
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_7.lp,1,56,7.36,0.0,optimal,3,1,7.601424215361476,7.606596392999791
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_7.lp,1,73,8.53,0.0,optimal,5,0,8.778158044442534,8.784397209999952
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_7.lp,1,47,6.56,0.0,optimal,2,1,6.871873138472438,6.8761239589998695
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_7.lp,1,52,7.24,0.0,optimal,1,1,7.5222060307860374,7.5272255669999595
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_7.lp,7,53,7.2,0.0,optimal,0,0,6.722826063632965,7.4559737310000855
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_7.lp,7,51,7.11,0.0,optimal,0,0,6.6685603223741055,7.376474330000292
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_7.lp,11,72,8.34,0.0,optimal,0,0,7.8375134859234095,8.66355757700012
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_7.lp,7,47,6.86,0.0,optimal,0,0,6.435697654262185,7.090735604999736
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_7.lp,7,52,7.73,0.0,optimal,0,0,7.263704065233469,8.033453982000083
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_8.lp,1,163,17.77,0.0,optimal,17,1,18.191822232678533,18.204282381999747
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_8.lp,3,138,20.76,0.0,optimal,13,1,21.36615154147148,21.379802288000064
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_8.lp,3,162,20.37,0.0,optimal,15,0,20.948027707636356,20.961507243999677
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_8.lp,3,147,19.66,0.0,optimal,8,0,20.124701101332903,20.137490409999828
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_8.lp,35,187,39.76,0.0,optimal,40,1,40.57266862690449,40.59779525099975
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_8.lp,17,141,14.96,0.0,optimal,0,0,14.579520819708705,15.4151650660001
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_8.lp,21,126,17.47,0.0,optimal,0,0,17.085541566833854,17.925636792000205
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_8.lp,17,141,15.12,0.0,optimal,0,0,14.739068821072578,15.576336442999946
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_8.lp,19,144,16.44,0.0,optimal,0,0,16.066333631053567,16.90404383499981
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_8.lp,115,274,28.72,0.0,optimal,0,0,28.62708524428308,29.585634495999784
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_9.lp,387,678,53.85,0.0,optimal,155,0,55.27704340033233,55.31498316199986
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_9.lp,53,225,28.28,0.0,optimal,71,0,29.063097132369876,29.082204354999703
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_9.lp,67,239,33.09,0.0,optimal,73,0,33.947836769744754,33.97012306600027
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_9.lp,113,321,34.69,0.0,optimal,105,0,35.62193053215742,35.64567357199985
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_9.lp,61,238,32.07,0.0,optimal,84,0,32.930959947407246,32.95228215900033
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_9.lp,703,939,55.01,0.0,optimal,0,0,55.47232595458627,56.84092134899993
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_9.lp,155,292,21.99,0.0,optimal,0,0,21.781963732093573,22.725002460999804
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_9.lp,197,337,26.14,0.0,optimal,0,0,26.04843388311565,27.028205556000103
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_9.lp,217,341,25.81,0.0,optimal,0,0,25.69324803724885,26.685924535999675
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_9.lp,209,365,28.89,0.0,optimal,0,0,28.910988533869386,29.898180222000065
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_10.lp,171,375,59.32,0.0,optimal,93,0,60.679967891424894,60.7083806669998
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_10.lp,215,457,74.48,0.0,optimal,127,0,76.52756232582033,76.56210148899982
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_10.lp,153,323,56.94,0.0,optimal,52,0,58.27484773658216,58.3081139650003
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_10.lp,129,298,53.05,0.0,optimal,59,0,54.56722590699792,54.595219259999794
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_10.lp,155,322,51.75,0.0,optimal,48,0,52.9544164929539,52.97861927300028
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_10.lp,385,593,53.62,0.0,optimal,0,0,54.165663830935955,55.30172302500023
