policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_1/instance_1.lp,29,134,0.79,0.0,optimal,40,0,0.9856118997558951,0.9862229510000011
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_1/instance_1.lp,35,136,0.84,0.0,optimal,40,0,1.0094400653615594,1.0100412160000012
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_1/instance_1.lp,41,134,0.82,0.0,optimal,36,0,0.9852337818592787,0.9857580810000002
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_1/instance_1.lp,41,141,0.78,0.0,optimal,39,1,0.986501949839294,0.9870424130000011
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_1/instance_1.lp,51,156,0.81,0.0,optimal,45,0,0.9721874464303255,0.9727168810000002
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_1/instance_1.lp,91,273,0.98,0.0,optimal,0,0,1.1623186664655805,1.2215574899999986
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_1/instance_1.lp,95,253,0.87,0.0,optimal,0,0,0.942432377487421,1.0015988700000005
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_1/instance_1.lp,89,246,0.79,0.0,optimal,0,0,0.9212075471878052,0.9709768009999991
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_1/instance_1.lp,95,238,0.84,0.0,optimal,0,0,0.9680927759036422,1.0222962989999989
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_1/instance_1.lp,85,258,0.8,0.0,optimal,0,0,0.9277497828006744,0.9752861429999982
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_2/instance_2.lp,7,67,0.51,0.0,optimal,10,1,0.6239754175767303,0.6243579270000019
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_2/instance_2.lp,11,93,0.54,0.0,optimal,21,2,0.699079267680645,0.6994505169999989
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_2/instance_2.lp,7,65,0.49,0.0,optimal,10,1,0.5976719269528985,0.5980096559999986
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_2/instance_2.lp,7,77,0.53,0.0,optimal,13,1,0.6290565431118011,0.6293618859999981
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_2/instance_2.lp,10,95,0.6,0.0,optimal,22,1,0.7291088430210948,0.7295034479999991
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_2/instance_2.lp,29,93,0.59,0.0,optimal,0,0,0.6631560046225786,0.6797223209999999
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_2/instance_2.lp,31,131,0.58,0.0,optimal,0,0,0.6480152318254113,0.66761464
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_2/instance_2.lp,33,112,0.54,0.0,optimal,0,0,0.6100894212722778,0.6283047610000025
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_2/instance_2.lp,33,114,0.56,0.0,optimal,0,0,0.61667540948838,0.6354055190000025
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_2/instance_2.lp,35,145,0.59,0.0,optimal,0,0,0.6822923561558127,0.7033760370000017
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_3/instance_3.lp,455,583,1.34,0.0,optimal,44,2,1.7510836524888873,1.7520547870000023
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_3/instance_3.lp,385,508,1.36,0.0,optimal,38,2,1.6673364574089646,1.6682009749999978
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_3/instance_3.lp,342,523,1.4,0.0,optimal,99,3,1.8083513379096985,1.8093560710000034
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_3/instance_3.lp,373,533,1.42,0.0,optimal,83,2,1.7805186714977026,1.7814373629999984
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_3/instance_3.lp,340,498,1.34,0.0,optimal,69,3,1.653829605318606,1.654753159000002
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_3/instance_3.lp,248,520,1.45,0.0,optimal,0,0,1.574302270077169,1.7338827049999992
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_3/instance_3.lp,284,627,1.73,0.0,optimal,0,0,1.7765710577368736,1.971697393999996
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_3/instance_3.lp,279,614,1.54,0.0,optimal,0,0,1.5969326486811042,1.7820026529999993
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_3/instance_3.lp,299,627,1.63,0.0,optimal,0,0,1.6703954143449664,1.8711834810000028
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_3/instance_3.lp,412,803,2.12,0.0,optimal,0,0,2.198656595312059,2.485506732999994
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_4/instance_4.lp,290,420,1.15,0.0,optimal,44,1,1.4471684005111456,1.4480418440000022
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_4/instance_4.lp,259,375,1.13,0.0,optimal,26,0,1.4182363143190742,1.4190383309999959
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_4/instance_4.lp,144,309,1.11,0.0,optimal,93,2,1.3539581233635545,1.3546964439999982
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_4/instance_4.lp,240,378,1.1,0.0,optimal,69,1,1.4552223170176148,1.4559558879999983
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_4/instance_4.lp,215,359,1.17,0.0,optimal,68,3,1.3914177091792226,1.3921730819999993
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_4/instance_4.lp,174,509,1.21,0.0,optimal,0,0,1.310699449852109,1.4177038750000008
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_4/instance_4.lp,184,536,1.26,0.0,optimal,0,0,1.4416486527770758,1.5450688029999995
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_4/instance_4.lp,182,401,1.21,0.0,optimal,0,0,1.283390467055142,1.393049910000002
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_4/instance_4.lp,173,433,1.22,0.0,optimal,0,0,1.2765086125582457,1.3738891510000002
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_4/instance_4.lp,173,483,1.19,0.0,optimal,0,0,1.299151743762195,1.3997814439999985
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_5/instance_5.lp,140,245,0.89,0.0,optimal,75,0,1.0913391970098019,1.0919613810000044
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_5/instance_5.lp,131,253,0.86,0.0,optimal,83,1,1.0937150912359357,1.094374551999998
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_5/instance_5.lp,106,221,0.86,0.0,optimal,64,3,1.069325746037066,1.0699316030000006
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_5/instance_5.lp,51,145,0.69,0.0,optimal,50,0,0.8708925945684314,0.871355745999999
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_5/instance_5.lp,41,126,0.73,0.0,optimal,37,0,0.8606194127351046,0.8611120099999994
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_5/instance_5.lp,158,259,0.91,0.0,optimal,0,0,1.0166429579257965,1.1093038019999995
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_5/instance_5.lp,153,342,1.08,0.0,optimal,0,0,1.1574279414489865,1.2484609370000044
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_5/instance_5.lp,160,332,1.03,0.0,optimal,0,0,1.0921331085264683,1.1889045949999968
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_5/instance_5.lp,115,338,0.89,0.0,optimal,0,0,0.9626875594258308,1.026858273000002
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_5/instance_5.lp,105,319,0.81,0.0,optimal,0,0,0.8819035440683365,0.9406983159999953
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_6/instance_6.lp,12,93,0.54,0.0,optimal,19,1,0.6825449829921126,0.6830323140000019
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_6/instance_6.lp,7,74,0.48,0.0,optimal,9,1,0.5766526889055967,0.5770048739999964
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_6/instance_6.lp,7,92,0.65,0.0,optimal,21,2,0.7532151499763131,0.7536740569999978
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_6/instance_6.lp,11,81,0.5,0.0,optimal,17,0,0.6033201972022653,0.6037117489999986
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_6/instance_6.lp,9,87,0.45,0.0,optimal,11,1,0.5649098642170429,0.5652036190000018
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_6/instance_6.lp,40,161,0.61,0.0,optimal,0,0,0.6656726337969303,0.6885190630000011
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_6/instance_6.lp,25,108,0.55,0.0,optimal,0,0,0.5991247519850731,0.6131344279999951
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_100r_200c_0.1d_0mc_0se/instance_6/instance_6.lp,47,154,0.79,0.0,optimal,0,0,0.8518730290234089,0.8790114439999996
