policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
internal:relpscost,20,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,24,100,2.25,0.0,optimal,53,1,2.67299931589514,2.6744744019999995
internal:relpscost,40,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,206,372,3.05,0.0,optimal,142,1,3.629972416907549,3.631652642999999
internal:relpscost,60,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,32,129,2.33,0.0,optimal,73,1,2.799544433131814,2.8009969890000015
internal:relpscost,80,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,72,170,2.6,0.0,optimal,75,1,3.1421280466020107,3.143490202999999
internal:relpscost,100,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,72,201,2.73,0.0,optimal,99,1,3.2001591669395566,3.202075875000002
gcnn:baseline,20,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,75,318,1.9,0.0,optimal,0,0,2.2250606566667557,2.2937683750000026
gcnn:baseline,40,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,74,374,1.69,0.0,optimal,0,0,1.9527791421860456,2.0371333110000016
gcnn:baseline,60,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,44,214,1.48,0.0,optimal,0,0,1.7200010977685452,1.7720286350000016
gcnn:baseline,80,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,46,214,1.64,0.0,optimal,0,0,1.8391995867714286,1.8945928589999994
gcnn:baseline,100,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,43,289,1.48,0.0,optimal,0,0,1.677777229808271,1.722807888000002
internal:relpscost,20,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,1,27,0.89,0.0,optimal,2,1,1.0056591462343931,1.0060120129999959
internal:relpscost,40,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,12,56,1.3,0.0,optimal,19,2,1.56482392270118,1.5656778159999973
internal:relpscost,60,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,10,51,1.24,0.0,optimal,18,2,1.4693518988788128,1.469871470000001
internal:relpscost,80,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,12,60,1.2,0.0,optimal,25,2,1.5180250024423003,1.518977483999997
internal:relpscost,100,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,13,60,1.35,0.0,optimal,21,2,1.5534508898854256,1.5538915369999984
gcnn:baseline,20,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,13,34,0.78,0.0,optimal,0,0,0.8761048447340727,0.8851498699999993
gcnn:baseline,40,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,85,317,1.4,0.0,optimal,0,0,1.5725931748747826,1.653928073000003
gcnn:baseline,60,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,68,306,1.34,0.0,optimal,0,0,1.55927103292197,1.6331038490000012
gcnn:baseline,80,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,53,152,1.27,0.0,optimal,0,0,1.4409527629613876,1.4936694929999987
gcnn:baseline,100,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,72,299,1.36,0.0,optimal,0,0,1.51187455188483,1.5850257359999986
internal:relpscost,20,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,382,537,3.09,0.0,optimal,129,0,3.8780290111899376,3.8796799050000033
internal:relpscost,40,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,473,646,3.31,0.0,optimal,152,1,4.1140112010762095,4.115789892000002
internal:relpscost,60,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,705,933,3.79,0.0,optimal,158,0,4.597200791351497,4.599169512000003
internal:relpscost,80,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,259,406,2.84,0.0,optimal,124,0,3.494034620001912,3.4957828169999985
internal:relpscost,100,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,92,191,2.43,0.0,optimal,78,1,2.966932957060635,2.967869233000002
gcnn:baseline,20,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,76,218,1.45,0.0,optimal,0,0,1.7242103265598416,1.7929952519999972
gcnn:baseline,40,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,322,726,3.24,0.0,optimal,0,0,3.5456778276711702,3.8836974859999884
gcnn:baseline,60,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,131,451,2.1,0.0,optimal,0,0,2.3590811770409346,2.500454121000004
gcnn:baseline,80,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,74,150,1.48,0.0,optimal,0,0,1.684789776802063,1.7427658080000015
gcnn:baseline,100,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,128,428,1.99,0.0,optimal,0,0,2.2294852947816253,2.3596499599999987
internal:relpscost,20,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,384,574,2.99,0.0,optimal,172,0,3.660327418707311,3.662030424000008
internal:relpscost,40,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,140,310,2.78,0.0,optimal,148,1,3.331014138646424,3.332393435
internal:relpscost,60,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,236,419,2.85,0.0,optimal,162,0,3.5069742454215884,3.5084479450000003
internal:relpscost,80,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,120,251,2.57,0.0,optimal,107,1,3.0311374505981803,3.0323982280000052
internal:relpscost,100,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,125,254,2.44,0.0,optimal,108,1,2.927713269367814,2.929285815
gcnn:baseline,20,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,57,310,1.49,0.0,optimal,0,0,1.6967287892475724,1.7661934270000046
gcnn:baseline,40,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,64,292,1.54,0.0,optimal,0,0,1.732489949092269,1.798642572999995
gcnn:baseline,60,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,78,319,1.6,0.0,optimal,0,0,1.784916514530778,1.876819058999999
gcnn:baseline,80,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,80,300,1.64,0.0,optimal,0,0,1.927898621186614,2.017386995999999
gcnn:baseline,100,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,57,210,1.41,0.0,optimal,0,0,1.5595282576978207,1.6232507580000117
internal:relpscost,20,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,2025,2659,6.75,0.0,optimal,258,0,8.460338273085654,8.463718662000005
internal:relpscost,40,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,2099,2789,6.51,0.0,optimal,263,0,8.270498174242675,8.273840493999998
internal:relpscost,60,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,2133,2726,6.37,0.0,optimal,272,0,8.013879247009754,8.016566671000007
internal:relpscost,80,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,2031,2785,6.66,0.0,optimal,294,0,8.237086325883865,8.239767532000002
internal:relpscost,100,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,2021,2591,6.59,0.0,optimal,247,0,8.02545103058219,8.02807481299999
gcnn:baseline,20,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,1219,1699,6.6,0.0,optimal,0,0,7.231309401802719,8.035171681999998
gcnn:baseline,40,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,1173,1673,6.54,0.0,optimal,0,0,6.891618009656668,7.661304419999993
gcnn:baseline,60,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,1199,1704,6.3,0.0,optimal,0,0,6.704497060738504,7.494789303000005
gcnn:baseline,80,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,1213,1747,6.44,0.0,optimal,0,0,6.945291834883392,7.7431849440000065
gcnn:baseline,100,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,1255,1731,6.58,0.0,optimal,0,0,6.948759819380939,7.768440802999976
internal:relpscost,20,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,5,30,0.91,0.0,optimal,2,1,1.0159146077930927,1.0160148890000187
internal:relpscost,40,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,3,40,0.94,0.0,optimal,3,1,1.092976214364171,1.0931026499999916
internal:relpscost,60,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,5,30,0.88,0.0,optimal,3,1,1.0194956054911017,1.0196363020000092
internal:relpscost,80,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,3,28,0.79,0.0,optimal,3,1,0.8728009713813663,0.872883805000015
internal:relpscost,100,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,3,37,0.94,0.0,optimal,2,1,1.1293710814788938,1.1295317389999866
gcnn:baseline,20,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,17,41,0.73,0.0,optimal,0,0,0.7852623490616679,0.7964213379999876
gcnn:baseline,40,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,17,54,0.84,0.0,optimal,0,0,0.9332679463550448,0.9444248699999775
gcnn:baseline,60,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,17,42,0.7,0.0,optimal,0,0,0.7835375815629959,0.7947885669999835
gcnn:baseline,80,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,17,44,0.68,0.0,optimal,0,0,0.749731675721705,0.7607468669999946
gcnn:baseline,100,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,21,53,0.95,0.0,optimal,0,0,1.087684104219079,1.1015245620000087
internal:relpscost,20,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,638,783,3.3,0.0,optimal,114,1,4.09870932996273,4.099285573000003
internal:relpscost,40,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,556,741,3.24,0.0,optimal,154,1,3.906666803173721,3.9071036149999827
internal:relpscost,60,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,399,596,2.96,0.0,optimal,176,0,3.574069568887353,3.5744787140000085
