policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_6.lp,105,245,16.67,0.0,0.0012771084974884613,0.0002681210402458067,0,optimal,0,0,16.4190041590482,17.30702950899922
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_6.lp,143,358,30.58,0.0,0.004803858039431846,0.0035385168029105907,0,optimal,0,0,30.786532539874315,31.752568898999925
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_7.lp,308,502,57.0,0.0,0.009260267345442622,0.008945109979792759,0.00345001067054571,optimal,0,0,57.42134917527437,58.539714453999295
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_7.lp,156,345,36.23,0.0,0.003653279348982296,0.002052338667870645,0,optimal,0,0,36.361957339569926,37.3243936380004
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_7.lp,154,383,54.68,0.0,0.009825235599140673,0.001964594447148079,0,optimal,0,0,55.208648359403014,56.18141883500084
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_7.lp,334,643,63.63,0.0,0.011189432108165923,0.011189432108165923,0.003332842188867251,optimal,0,0,64.29093654081225,65.4543704329999
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_7.lp,146,350,45.23,0.0,0.003768614023198036,0.002614080788513398,0,optimal,0,0,45.80792880244553,46.78900750299999
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_8.lp,169,338,28.1,0.0,0.002146811397307847,0.0014945508141976194,0,optimal,0,0,27.872605504468083,28.820758615999694
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_8.lp,185,330,30.9,0.0,0.0027415703721926157,0.0015447346400787017,0,optimal,0,0,30.830764945596457,31.794529740000144
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_8.lp,193,349,32.51,0.0,0.0022930399158705515,0.0020832886094315443,0,optimal,0,0,32.457575254142284,33.42339251799967
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_8.lp,217,415,37.24,0.0,0.0024248740557558024,0.0016931955375124469,0.0007278675756127081,optimal,0,0,37.4414726216346,38.43072244799987
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_8.lp,187,366,30.58,0.0,0.0024285407906163557,0.0018290751850715385,0,optimal,0,0,30.487689873203635,31.450973918000273
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_9.lp,21,125,11.82,0.0,0,0,0,optimal,0,0,11.369426883757114,12.18872166499932
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_9.lp,17,113,10.08,0.0,0,0,0,optimal,0,0,9.58066855929792,10.395343635000245
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_9.lp,17,113,10.66,0.0,0,0,0,optimal,0,0,10.2653863504529,11.080389237999952
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_9.lp,53,159,10.65,0.0,0,0,0,optimal,0,0,10.122767256572843,10.964784394999697
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_9.lp,15,113,10.06,0.0,0,0,0,optimal,0,0,9.633839471265674,10.447151794000092
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_10.lp,4956,5991,538.41,0.0,0.009528440431041745,0.00951495459948194,0.009279310696380483,optimal,0,0,545.6460905168205,551.626147727
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_10.lp,4441,4944,402.4,0.0,0.006711518182648274,0.006426713391668448,0.006426713391668448,optimal,0,0,409.3815477062017,412.8771859850003
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_10.lp,8370,9754,1002.17,0.0,0.011567769957934293,0.011388191862062785,0.011223182810455977,optimal,0,0,1020.0190708637238,1025.48014625
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_10.lp,7801,8985,1043.24,0.0,0.015010562373756052,0.014796827525936378,0.014388487233503097,optimal,0,0,1060.265755213797,1067.2474249609995
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_10.lp,3556,4337,415.3,0.0,0.010117273406475355,0.009833794994965485,0.009409046081316432,optimal,0,0,422.2106257081032,425.9415128110013
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_11.lp,35,140,12.54,0.0,0,0,0,optimal,0,0,12.12680210545659,12.957765250999728
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_11.lp,25,125,12.39,0.0,0,0,0,optimal,0,0,11.93999482691288,12.764122808999673
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_11.lp,37,136,11.6,0.0,0,0,0,optimal,0,0,11.243909118697047,12.07549692199973
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_11.lp,39,136,11.95,0.0,0,0,0,optimal,0,0,11.566527234390378,12.406211939000059
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_11.lp,31,143,12.45,0.0,0,0,0,optimal,0,0,12.052338149398565,12.883179929998732
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_12.lp,160,318,24.84,0.0,0.0014858247928118925,0.00101949189389954,0,optimal,0,0,24.558217577636242,25.494608692999464
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_12.lp,111,261,19.13,0.0,0.0010426555555313444,0,0,optimal,0,0,18.902100617066026,19.79086115499922
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_12.lp,75,204,18.69,0.0,0.0008785868410186063,0,0,optimal,0,0,18.420675460249186,19.280068551001023
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_12.lp,135,269,22.22,0.0,0.0009051592245232875,0.000579832048751174,0,optimal,0,0,22.157448826357722,23.066249049999897
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_12.lp,121,266,22.52,0.0,0.0015272106877413367,0.0003266824255599806,0,optimal,0,0,22.401843417435884,23.303837784998905
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_13.lp,369,524,48.57,0.0,0.002894947682705672,0.002894947682705672,0.002382738109833467,optimal,0,0,48.966747757047415,50.074027307000506
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_13.lp,354,529,45.42,0.0,0.002920946121871561,0.0028396320938421306,0.002107288877386331,optimal,0,0,45.67003405280411,46.676887490999434
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_13.lp,381,545,45.97,0.0,0.0032872688807458793,0.0032872688807458793,0.0018947501116997416,optimal,0,0,46.39304894581437,47.39086048900026
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_13.lp,361,535,48.37,0.0,0.00242407721300548,0.00242407721300548,0.0017614299187670862,optimal,0,0,48.87993745133281,49.870920310000656
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_13.lp,379,536,48.28,0.0,0.0031190152333490035,0.003040121709897278,0.0022879029119529854,optimal,0,0,48.656451024115086,49.687124018999384
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_14.lp,199,358,20.64,0.0,0.0026458138414936646,0.0015008142599660047,0,optimal,0,0,20.38565851189196,21.342717482000808
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_14.lp,133,267,19.12,0.0,0.0012749690589996443,0.0012624360101131313,0,optimal,0,0,18.949871176853776,19.854530235999846
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_14.lp,125,265,17.65,0.0,0.0017249463375201177,0.001283952147573524,0,optimal,0,0,17.351270962506533,18.24890100399898
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_14.lp,209,390,22.15,0.0,0.002548414112176515,0.0014706937631658997,0.00027897342169548947,optimal,0,0,22.099469669163227,23.062494628999048
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_14.lp,195,338,19.55,0.0,0.0028959028964251673,0.0020304089101623552,0,optimal,0,0,19.38384608924389,20.335017535999214
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_15.lp,9,54,7.9,0.0,0,0,0,optimal,0,0,7.410952338948846,8.216771250999955
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_15.lp,9,116,11.77,0.0,0,0,0,optimal,0,0,11.276693066582084,12.085093185000005
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_15.lp,7,38,6.64,0.0,0,0,0,optimal,0,0,6.136173997074366,6.940386333999413
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_15.lp,9,116,12.22,0.0,0,0,0,optimal,0,0,11.789379777386785,12.597839766000106
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_15.lp,9,45,7.38,0.0,0,0,0,optimal,0,0,6.806083681061864,7.611842444999638
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_16.lp,703,952,62.08,0.0,0.0035226306061472827,0.0030510938598742204,0.0026546930044313317,optimal,0,0,62.98918728902936,64.34301086100095
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_16.lp,457,647,52.57,0.0,0.004074723176943502,0.003877580379667457,0.0027385153779447675,optimal,0,0,53.06107506714761,54.22453950900126
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_16.lp,921,1237,76.39,0.0,0.004386196222356056,0.004382219815374433,0.0037921956597991406,optimal,0,0,77.18758853338659,78.71492465900155
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_16.lp,525,707,60.93,0.0,0.004370767495240866,0.0028807349665376223,0.0026304182271336815,optimal,0,0,61.9678118545562,63.04261211700032
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_16.lp,647,850,64.73,0.0,0.004400438192314386,0.004125166983193742,0.0032241984584809417,optimal,0,0,65.725620418787,66.85685349099913
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_17.lp,177,306,22.41,0.0,0.001499170821184546,0.001499170821184546,0,optimal,0,0,22.348555009812117,23.24402015799933
