policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,20,small,data/instances/facilities/train_100_100_5/instance_1.lp,689,942,48.38,0.0,0.002370118794161359,0.0019882572117717774,0.0016603975145798157,optimal,0,0,48.934625627473,50.231414537999996
gcnn:baseline,40,small,data/instances/facilities/train_100_100_5/instance_1.lp,757,986,80.86,0.0,0.0020882388667777824,0.0020059731516324742,0.0018696100607401996,optimal,0,0,82.29633020609617,83.4655531
gcnn:baseline,60,small,data/instances/facilities/train_100_100_5/instance_1.lp,533,687,80.36,0.0,0.0020746622302516113,0.001973731931824573,0.0016707246233716967,optimal,0,0,81.80097042769194,82.87118875800002
gcnn:baseline,80,small,data/instances/facilities/train_100_100_5/instance_1.lp,527,664,42.76,0.0,0.0021524057850923427,0.0019042027865036628,0.0015015116544180927,optimal,0,0,43.26759413443506,44.457128049000005
gcnn:baseline,100,small,data/instances/facilities/train_100_100_5/instance_1.lp,557,736,43.76,0.0,0.0020594772999045353,0.0018990239705200668,0.0014401885866258605,optimal,0,0,44.16279214434326,45.37496834900003
gcnn:baseline,20,small,data/instances/facilities/train_100_100_5/instance_2.lp,307,471,33.97,0.0,0.0027017848343869407,0.0026598728843877165,0.0017237581692569632,optimal,0,0,34.150579273700714,35.204398810999976
gcnn:baseline,40,small,data/instances/facilities/train_100_100_5/instance_2.lp,307,473,41.04,0.0,0.0025140482489548967,0.0021647222199863035,0.0015488047315192547,optimal,0,0,41.19026866927743,42.19798744000002
gcnn:baseline,60,small,data/instances/facilities/train_100_100_5/instance_2.lp,261,415,39.32,0.0,0.002736522094680412,0.0023760836078287532,0.0015016463906330165,optimal,0,0,39.461155477911234,40.40385506499996
gcnn:baseline,80,small,data/instances/facilities/train_100_100_5/instance_2.lp,303,516,35.21,0.0,0.002770329646918538,0.0024242189069949073,0.0016783005612800027,optimal,0,0,35.30078214406967,36.368795422999995
gcnn:baseline,100,small,data/instances/facilities/train_100_100_5/instance_2.lp,321,535,36.57,0.0,0.002743251290517321,0.002381035532982981,0.0019271649503552438,optimal,0,0,36.65493131801486,37.71805745400002
gcnn:baseline,20,small,data/instances/facilities/train_100_100_5/instance_3.lp,99,238,17.8,0.0,0.0015832190774803438,0,0,optimal,0,0,17.559468664228916,18.44156037900001
gcnn:baseline,40,small,data/instances/facilities/train_100_100_5/instance_3.lp,125,289,18.63,0.0,0.001977543128922861,0.0009157444940123259,0,optimal,0,0,18.29672602005303,19.190671285999997
gcnn:baseline,60,small,data/instances/facilities/train_100_100_5/instance_3.lp,109,249,17.68,0.0,0.001887182347478934,0.00048307383070330686,0,optimal,0,0,17.38300721719861,18.27275432700003
gcnn:baseline,80,small,data/instances/facilities/train_100_100_5/instance_3.lp,111,298,18.94,0.0,0.001560958007986267,0.0005489133509615091,0,optimal,0,0,18.669631496071815,19.570182055000032
gcnn:baseline,100,small,data/instances/facilities/train_100_100_5/instance_3.lp,101,246,17.81,0.0,0.0015513126039785395,0,0,optimal,0,0,17.591410607099533,18.474293464000084
gcnn:baseline,20,small,data/instances/facilities/train_100_100_5/instance_4.lp,75,244,23.55,0.0,0.0009155032966580418,0,0,optimal,0,0,23.316183594986796,24.19355849100009
gcnn:baseline,40,small,data/instances/facilities/train_100_100_5/instance_4.lp,71,192,20.14,0.0,0.001854081239125444,0,0,optimal,0,0,19.865980979055166,20.730009993000067
gcnn:baseline,60,small,data/instances/facilities/train_100_100_5/instance_4.lp,75,218,25.51,0.0,0.0010364688832626163,0,0,optimal,0,0,25.41264859959483,26.284812566000028
gcnn:baseline,80,small,data/instances/facilities/train_100_100_5/instance_4.lp,75,171,24.51,0.0,0.0009330310792941025,0,0,optimal,0,0,24.292383674532175,25.145502433999923
gcnn:baseline,100,small,data/instances/facilities/train_100_100_5/instance_4.lp,73,222,29.26,0.0,0.0009478666568865152,0,0,optimal,0,0,29.214097706601024,30.052385493999964
gcnn:baseline,20,small,data/instances/facilities/train_100_100_5/instance_5.lp,89,192,13.51,0.0,0.0015299573511990906,0,0,optimal,0,0,13.202838145196438,14.035263880000002
gcnn:baseline,40,small,data/instances/facilities/train_100_100_5/instance_5.lp,113,257,16.11,0.0,0.00151125039164078,0.0005605237953637946,0,optimal,0,0,15.873894510790706,16.739397926000038
gcnn:baseline,60,small,data/instances/facilities/train_100_100_5/instance_5.lp,73,219,14.6,0.0,0,0,0,optimal,0,0,14.351369958370924,15.215000663999945
gcnn:baseline,80,small,data/instances/facilities/train_100_100_5/instance_5.lp,87,216,13.47,0.0,0.0006642521985446716,0,0,optimal,0,0,13.142386620864272,14.014582990000008
gcnn:baseline,100,small,data/instances/facilities/train_100_100_5/instance_5.lp,89,182,12.19,0.0,0.0011533528895799308,0,0,optimal,0,0,11.863046323880553,12.732192251000015
gcnn:baseline,20,small,data/instances/facilities/train_100_100_5/instance_6.lp,5,112,9.88,0.0,0,0,0,optimal,0,0,9.671850113198161,10.228515429000026
gcnn:baseline,40,small,data/instances/facilities/train_100_100_5/instance_6.lp,5,93,10.06,0.0,0,0,0,optimal,0,0,9.745425883680582,10.341070702000025
gcnn:baseline,60,small,data/instances/facilities/train_100_100_5/instance_6.lp,9,113,8.72,0.0,0,0,0,optimal,0,0,8.239668183028698,9.048682516999975
gcnn:baseline,80,small,data/instances/facilities/train_100_100_5/instance_6.lp,11,112,9.93,0.0,0,0,0,optimal,0,0,9.527420742437243,10.337208805999921
gcnn:baseline,100,small,data/instances/facilities/train_100_100_5/instance_6.lp,9,113,9.5,0.0,0,0,0,optimal,0,0,9.024142306298018,9.831817076000107
gcnn:baseline,20,small,data/instances/facilities/train_100_100_5/instance_7.lp,329,484,36.71,0.0,0.004132904406705365,0.0035922332629174047,0.003384645417105492,optimal,0,0,36.8293399810791,37.93104984499996
gcnn:baseline,40,small,data/instances/facilities/train_100_100_5/instance_7.lp,171,304,34.77,0.0,0.0023919899048873827,0.001483366079672142,0,optimal,0,0,35.08872268348932,35.99299823399997
gcnn:baseline,60,small,data/instances/facilities/train_100_100_5/instance_7.lp,193,307,32.11,0.0,0.0020984248277174326,0.0019839886790771213,0,optimal,0,0,32.041009180247784,32.93054443199992
