policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,150_gap,200_gap,250_gap,300_gap,status,ndomchgs,ncutoffs,walltime,proctime
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_1.lp,203,360,14.992515,0.0,0.003397908374912392,0.0033082629615190967,0.0032807154462759468,0.0019933953710719555,0,0,0,optimal,0,0,14.992571791633964,14.982826099999999
ml-competitor:svmrank_khalil,6,small,../data/instances/facilities/test_100_100_5/instance_1.lp,229,323,15.323963,0.0,0.002712531400848565,0.002394896043868434,0.0023516201554093738,0.0020247851634664156,0.0013491132417494172,0,0,optimal,0,0,15.32401754334569,15.334330005000002
ml-competitor:svmrank_khalil,8,small,../data/instances/facilities/test_100_100_5/instance_1.lp,213,341,15.193465,0.0,0.002875670418458238,0.0024012173058212075,0.0020228980723086664,0.0016806203207004173,0,0,0,optimal,0,0,15.193521682173014,15.203247726
ml-competitor:svmrank_khalil,10,small,../data/instances/facilities/test_100_100_5/instance_1.lp,217,346,16.341377,0.0,0.002875670418458238,0.00237206359407458,0.002034776235489501,0.0013385833632811506,0.0007518273562476874,0,0,optimal,0,0,16.3414386799559,16.351960535000003
ml-competitor:svmrank_khalil,12,small,../data/instances/facilities/test_100_100_5/instance_1.lp,201,294,13.745142,0.0,0.003275317958748519,0.002828722707732192,0.0027256561345201905,0.001919665469261361,0,0,0,optimal,0,0,13.74520341400057,13.75396551499999
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_1.lp,235,377,14.556328,0.0,0.002428246634792157,0.002428246634792157,0.002428246634792157,0.002086694476489469,0,0,0,optimal,0,0,14.556380016729236,15.519029208000006
gcnn:baseline,6,small,../data/instances/facilities/test_100_100_5/instance_1.lp,191,297,14.296012,0.0,0.0032039979576559646,0.0024190104829152296,0.0024173073601334904,0.0013068634503931114,0,0,0,optimal,0,0,14.296065911650658,15.244430581000003
gcnn:baseline,8,small,../data/instances/facilities/test_100_100_5/instance_1.lp,195,342,15.445454,0.0,0.0025712925777586094,0.0024227533740163428,0.0020228980723086664,0.0013642243310771208,0,0,0,optimal,0,0,15.445486352778971,16.396591737999998
gcnn:baseline,10,small,../data/instances/facilities/test_100_100_5/instance_1.lp,199,298,14.619368,0.0,0.003261232401659998,0.0027841511250617746,0.0027841511250617746,0.0014299816387168152,0,0,0,optimal,0,0,14.619416021741927,15.57417018999999
gcnn:baseline,12,small,../data/instances/facilities/test_100_100_5/instance_1.lp,181,275,14.097930999999999,0.0,0.0032039979576559646,0.0032039979576559646,0.002419010482915436,0.0014939335214516098,0,0,0,optimal,0,0,14.097964835353196,15.005784607999999
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_2.lp,221,354,19.842616,0.0,0.002564484197062098,0.0018841270332487477,0.0016267606168276988,0.0014834944049495744,0.0007522197411519046,0,0,optimal,0,0,19.84266174864024,19.856381153
ml-competitor:svmrank_khalil,6,small,../data/instances/facilities/test_100_100_5/instance_2.lp,249,386,23.004574,0.0,0.002288134372890416,0.0019041902659792634,0.0018419375560373278,0.0013606416732004792,0.0008655501125106944,0,0,optimal,0,0,23.00463157519698,23.019536453
ml-competitor:svmrank_khalil,8,small,../data/instances/facilities/test_100_100_5/instance_2.lp,223,345,18.935495,0.0,0.0026621180300852114,0.002281727429718036,0.0019287704017224635,0.001828193571381793,0,0,0,optimal,0,0,18.935545361600816,18.947712078000023
ml-competitor:svmrank_khalil,10,small,../data/instances/facilities/test_100_100_5/instance_2.lp,217,330,21.611734,0.0,0.0022939157432738345,0.0019440501975281877,0.0019440501975281877,0.0018992526703420296,0.001856549854499884,0,0,optimal,0,0,21.611783728934824,21.625647334999996
ml-competitor:svmrank_khalil,12,small,../data/instances/facilities/test_100_100_5/instance_2.lp,237,378,23.094322,0.0,0.0025509971947535086,0.001946930511766878,0.0019064476615145722,0.0018102387807242873,0.0013731585794126207,0,0,optimal,0,0,23.09438111912459,23.108853036
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_2.lp,219,337,20.864431,0.0,0.002007984357807816,0.0019466679042312175,0.0019466679042312175,0.001894585185065732,0,0,0,optimal,0,0,20.864483141340315,21.838602123000044
