policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,150_gap,200_gap,250_gap,300_gap,status,ndomchgs,ncutoffs,walltime,proctime
ml-competitor:svmrank_khalil,12,small,../data/instances/facilities/test_100_100_5/instance_3.lp,49,144,14.96075,0.0,0,0,0,0,0,0,0,optimal,0,0,14.960808794014156,14.96805175899999
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_3.lp,39,122,14.909431,0.0,0,0,0,0,0,0,0,optimal,0,0,14.90947032533586,15.743459954999992
gcnn:baseline,6,small,../data/instances/facilities/test_100_100_5/instance_3.lp,74,201,20.000855,0.0012412771284603479,0.00199355047079267,0,0,0,0,0,0,timelimit,0,0,20.000903071835637,20.86669332500003
gcnn:baseline,8,small,../data/instances/facilities/test_100_100_5/instance_3.lp,37,136,13.547524,0.0,0,0,0,0,0,0,0,optimal,0,0,13.547561875544488,14.37889777800001
gcnn:baseline,10,small,../data/instances/facilities/test_100_100_5/instance_3.lp,55,128,11.278524,0.0,0.00232966270724214,0,0,0,0,0,0,optimal,0,0,11.27857838012278,12.121908829999995
gcnn:baseline,12,small,../data/instances/facilities/test_100_100_5/instance_3.lp,41,124,13.502992,0.0,0,0,0,0,0,0,0,optimal,0,0,13.503054982051253,14.336292495999999
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_4.lp,23,181,20.009049,0.0032242947938301517,0,0,0,0,0,0,0,timelimit,0,0,20.00911252386868,20.020213637999973
ml-competitor:svmrank_khalil,6,small,../data/instances/facilities/test_100_100_5/instance_4.lp,40,183,20.001199,0.002892985126457838,0,0,0,0,0,0,0,timelimit,0,0,20.00124565605074,20.010578226000007
ml-competitor:svmrank_khalil,8,small,../data/instances/facilities/test_100_100_5/instance_4.lp,27,188,20.003121,0.0030736969392836577,0,0,0,0,0,0,0,timelimit,0,0,20.00316966045648,20.01313767800002
ml-competitor:svmrank_khalil,10,small,../data/instances/facilities/test_100_100_5/instance_4.lp,19,174,20.002249,0.0032272192821276315,0,0,0,0,0,0,0,timelimit,0,0,20.002301433123648,20.01449473599996
ml-competitor:svmrank_khalil,12,small,../data/instances/facilities/test_100_100_5/instance_4.lp,55,198,20.001097,0.0016322200354486436,0.0016322200354486436,0,0,0,0,0,0,timelimit,0,0,20.001145547255874,20.013221247000047
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_4.lp,36,172,20.062736,0.0032242947938301517,0,0,0,0,0,0,0,timelimit,0,0,20.062790180556476,20.93104912399997
gcnn:baseline,6,small,../data/instances/facilities/test_100_100_5/instance_4.lp,53,203,20.000209,0.002892985126458042,0.002892985126458042,0,0,0,0,0,0,timelimit,0,0,20.000256733968854,20.88325358599991
gcnn:baseline,8,small,../data/instances/facilities/test_100_100_5/instance_4.lp,32,207,20.000811,0.0030736969392836577,0,0,0,0,0,0,0,timelimit,0,0,20.000852201133966,20.85881581199999
gcnn:baseline,10,small,../data/instances/facilities/test_100_100_5/instance_4.lp,29,203,20.000774,0.0031076423478824393,0,0,0,0,0,0,0,timelimit,0,0,20.00081529095769,20.851234190000014
gcnn:baseline,12,small,../data/instances/facilities/test_100_100_5/instance_4.lp,57,205,20.001085,0.0012541036199964855,0.0012887772280871772,0,0,0,0,0,0,timelimit,0,0,20.001129433512688,20.868386895999947
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_5.lp,33,133,11.131207,0.0,0,0,0,0,0,0,0,optimal,0,0,11.13124399445951,11.139114935999942
ml-competitor:svmrank_khalil,6,small,../data/instances/facilities/test_100_100_5/instance_5.lp,31,73,5.919988,0.0,0,0,0,0,0,0,0,optimal,0,0,5.9200239004567266,5.924436595999964
ml-competitor:svmrank_khalil,8,small,../data/instances/facilities/test_100_100_5/instance_5.lp,23,87,10.400667,0.0,0,0,0,0,0,0,0,optimal,0,0,10.400721873156726,10.40723896399993
ml-competitor:svmrank_khalil,10,small,../data/instances/facilities/test_100_100_5/instance_5.lp,13,114,11.350978,0.0,0,0,0,0,0,0,0,optimal,0,0,11.351012038066983,11.358304562000058
ml-competitor:svmrank_khalil,12,small,../data/instances/facilities/test_100_100_5/instance_5.lp,25,117,10.199286,0.0,0,0,0,0,0,0,0,optimal,0,0,10.199322490952909,10.205857703999982
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_5.lp,29,132,11.261614,0.0,0,0,0,0,0,0,0,optimal,0,0,11.26165598910302,12.067931231999978
